task_id,language,objective,prompt_detail,variant,repetition_index,runtime_milliseconds,peak_memory_bytes,returncode,stdout,stderr,correctness_pass,compile_error,test_error,timeout,source_path
0,cpp,memory,detailed,after,2,27.092088013887405,3026944,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,3,27.057137805968523,3014656,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,4,27.15705893933773,2945024,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,5,27.11777901276946,2945024,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,6,27.2549488581717,3076096,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,7,27.185578364878893,2940928,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,8,27.107597794383764,3104768,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,9,27.2259502671659,2965504,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,memory,detailed,after,10,27.238989248871803,3104768,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/0.cpp
0,cpp,balanced,minimal,after,1,26.977237779647112,3104768,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,2,27.669009752571583,2949120,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,3,27.16839825734496,3018752,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,4,27.064049150794744,2949120,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,5,27.45216991752386,3031040,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,6,27.026099152863026,2965504,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,7,27.126179076731205,2953216,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,8,27.348799165338278,3080192,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,9,27.192058973014355,2953216,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,minimal,after,10,27.31872908771038,2953216,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/0.cpp
0,cpp,balanced,detailed,after,1,27.14044926688075,3026944,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,2,27.29037869721651,3031040,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,3,27.23576780408621,2945024,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,4,26.99709916487336,3080192,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,5,27.300348971039057,2961408,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,6,27.35388930886984,3080192,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,7,27.34967041760683,2969600,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,8,27.10107807070017,2953216,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,9,27.59162988513708,2887680,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
0,cpp,balanced,detailed,after,10,27.331399265676737,3014656,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/0.cpp
1,cpp,,,before,1,27.117418125271797,3588096,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,2,27.461719699203968,3514368,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,3,27.488239109516144,3600384,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,4,27.27851876989007,3629056,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,5,27.474101167172194,3616768,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,6,27.503239922225475,3633152,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,7,27.27220905944705,3518464,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,8,27.272208593785763,3514368,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,9,27.407989371567965,3629056,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
1,cpp,,,before,10,27.198759373277426,3637248,0,,,1,0,0,0,generated_code/baseline/cpp/1.cpp
2,cpp,,,before,1,27.08320878446102,1241088,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,2,27.04463806003332,1245184,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,3,27.40107011049986,1159168,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
