objective,prompt_detail,baseline_correctness_rate,optimized_correctness_rate
balanced,detailed,0.9939024390243902,0.8475609756097561
balanced,minimal,0.9939024390243902,0.8719512195121951
memory,detailed,0.9939024390243902,0.8719512195121951
memory,minimal,0.9939024390243902,0.8658536585365854
runtime,detailed,0.9939024390243902,0.9085365853658537
runtime,minimal,0.9939024390243902,0.9024390243902439
